고객사명,요일,식수량(인분),서비스 종류,성비(남:녀),업종,최고온도,메인 메뉴,분류,맵기,염도,당도,1인당 소비량(g),1인당 제공량
세컨신드롬,월,19,베이직,6:4,임대,3,소고기고추장볶음,한식,0.7,0.5,0.5,125,140
소프트팩,월,44,베이직,3:7,식음료,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
슈퍼진,월,14,베이직,7:3,게임,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
스노우폭스,월,54,베이직,6:4,식음료,3,소고기고추장볶음,한식,0.7,0.5,0.5,128,140
스탠다드치과,월,14,베이직,7:3,의료,3,소고기고추장볶음,한식,0.7,0.5,0.5,128,140
시지바이오,월,85,베이직,7:3,의료,3,소고기고추장볶음,한식,0.7,0.5,0.5,128,140
쓰리빌리언,월,26,베이직,7:3,의료,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
알파투쎄븐쓰리,월,35,베이직,7:3,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
앤비젼,월,53,프리미엄,7:3,전기전자,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
어메이징브루어리,월,14,베이직,6:4,식음료,3,소고기고추장볶음,한식,0.7,0.5,0.5,117,140
에코마케팅,월,102,베이직,5:5,마케팅,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
에픽게임즈,월,78,베이직,7:3,게임,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
엔라이즈,월,28,베이직,7:3,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
엔픽셀,월,44,베이직,7:3,게임,3,소고기고추장볶음,한식,0.7,0.5,0.5,117,140
엠레드클리닉,월,19,베이직,2:8,미용,3,소고기고추장볶음,한식,0.7,0.5,0.5,117,140
오가나셀피부과,월,28,프리미엄,3:7,미용,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
오누이,월,22,프리미엄,8:2,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
오늘의꽃,월,16,프리미엄,6:4,물류,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
와이피랩스,월,25,프리미엄,7:3,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
원티드,월,68,베이직,7:3,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,119,140
웨딩북,월,21,베이직,5:5,서비스,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
위시켓,월,29,베이직,6:4,IT,3,소고기고추장볶음,한식,0.7,0.5,0.5,123,140
이노레드,월,52,베이직,8:2,마케팅,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
이롬플러스,월,18,베이직,7:3,식음료,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
이지스,월,38,베이직,8:2,금융,3,소고기고추장볶음,한식,0.7,0.5,0.5,131,140
메쉬코리아,화,21,베이직,6:4,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
모빌,화,41,베이직,6:4,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
무궁화신탁,화,113,베이직,6:4,금융,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
뱅크샐러드,화,48,베이직,6:4,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
버드뷰,화,32,베이직,7:3,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,125,140
버킷플레이스,화,127,베이직,5:5,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
버튼,화,26,베이직,6:4,게임,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
버핏서울,화,19,베이직,7:3,헬스케어,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
부농,화,24,베이직,7:3,제조,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,119,140
분당메모리얼파크,화,29,베이직,5:5,서비스,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,128,140
뷰노,화,89,베이직,7:3,의료,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
비트센싱,화,21,베이직,6:4,IT,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,117,140
비헤이브글로벌,화,30,베이직,5:5,마케팅,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,128,140
세종메디칼,화,28,베이직,7:3,의료,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,121,140
세컨신드롬,화,23,베이직,6:4,임대,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,125,140
소프트팩,화,52,베이직,3:7,식음료,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
슈퍼진,화,16,베이직,7:3,게임,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,131,140
스노우폭스,화,64,베이직,6:4,식음료,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,128,140
스탠다드치과,화,17,베이직,7:3,의료,1,그릴소시지 하리사 롤빵,한식,0,0.3,0.7,128,140
